Title,Date,data_file,Download Link
Regarding Advanced GIS training,17 Apr 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230417055417-nvK4o-Advanced-GIS-तालिम-सम्बन्धमा।-(1).pdf,http://dos.gov.np/download/download/regading-advanved-gis-training/news
Regarding Abroad Study/Training Scholarships,12 Apr 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230412093313-1raGF-pdffinal.pdf,http://dos.gov.np/download/download/regarding-abroad-studytraining-scholarships/news
Digital Cadastre Training,09 Apr 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230409105340-aAFT8-Digital-cadastre-tranning.pdf,http://dos.gov.np/download/download/digital-cadastre-training/news
Regarding Junior Survey Training (Departmental),05 Apr 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230405060731-IuvZS-जुनियर-नापी-तालिम-min-min.pdf,http://dos.gov.np/download/download/regarding-junior-surveyor-training-departmental/news
Regarding the implemention of notice,04 Apr 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230404104412-q21Gg-20791220.852-(1)_compressed.pdf,http://dos.gov.np/download/download/regarding-the-implemention-of-notice/news
Regarding the circular to send talents or ideas,30 Mar 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230330094618-HPui4-परिपत्र-सम्बन्धमा-2079-12-15_compressed.pdf,http://dos.gov.np/download/download/regarding-the-circular-to-send-talents-or-ideas/news
Regarding Foreign Study /Training Scholarship,28 Feb 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230228094806-OfXA2-सूचना.pdf,http://dos.gov.np/download/download/regarding-foreign-study-training-scholarship/news
Regarding implementation of decision,22 Feb 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230222074834-XNT6d-Implementation.pdf,http://dos.gov.np/download/download/regarding-implementation-of-decision-6/news
Submission of Research Report,14 Feb 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230214055217-1jrHR-IMG_20230214_0001.pdf,http://dos.gov.np/download/download/submission-of-research-report/news
Regarding nomination,08 Feb 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230208092812-dk6u8-manonayan.jpg,http://dos.gov.np/download/download/regarding-nomination-5/news
Regarding Nomination[07/02/2024],07 Feb 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230207113020-9GLZB-_20791023_Manonayan_DOS_compressed.pdf,http://dos.gov.np/download/download/regarding-nomination07022024/news
Regarding Circulars,13 Jan 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230113071945-U3JFP-paripatra.pdf,http://dos.gov.np/download/download/regarding-circulars/news
Regarding Details,12 Jan 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230112101831-qIQud-Bibaran-sambandhama.pdf,http://dos.gov.np/download/download/regarding-details/news
Regarding e-hajiri,12 Jan 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230112101527-UaZPo-e-hajiri.pdf,http://dos.gov.np/download/download/regarding-e-hajiri/news
Regarding nomination,02 Jan 2023,http://dos.gov.np/uploads/branch_1/notices/notices-20230102083705-TBgHp-001-(1).pdf,http://dos.gov.np/download/download/regarding-nomination-4/news
रिक्त पदपूर्ति एवम् निर्देशन सम्बन्धमा,19 Dec 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20221219100649-A7WRR-रिक्त-पद-पुर्ति.pdf,http://dos.gov.np/download/download/e-b/news
