Title,Date,data_file,Download Link
"Aerial Survey Permit Procedure, 2079",19 Apr 2023,"http://dos.gov.np/uploads/branch_1/downloads/downloads-20230419090857-OiTc6-हवाई-सर्वेक्षण-अनुमति-कार्यविधि,-२०७९.pdf",http://dos.gov.np/download/download/aerial-survey-permit-procedure-2079/downloads
SOP for Digital Cadastral Survey through UAV 2079,09 Apr 2023,http://dos.gov.np/uploads/branch_1/downloads/downloads-20230409083806-WUvrL-UAV_SOP.pdf,http://dos.gov.np/download/download/sop-for-digital-cadastral-survey-through-uav-2079/downloads
Nepalese Journal on Geoinformatics Vol 12,30 Aug 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210922041251-ftZ1u-Nepalese-Journal-on-Geoinformatics-V12.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-17/downloads
Nepalese Journal on Geoinformatics Vol 11,30 Aug 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210922041224-yX0AC-Nepalese-Journal-on-Geoinformatics-V11.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-12/downloads
Nepalese Journal on Geoinformatics Vol 10,30 Aug 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210922041153-3VSFv-Nepalese-Journal-on-Geoinformatics-V10.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-11/downloads
Nepalese Journal on Geoinformatics Vol 9,30 Aug 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210830170236-qScnl-Nepalese-Journal-on-Geoinformatics-V9.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-9/downloads
Nepalese Journal on Geoinformatics Vol 8,30 Aug 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210830170137-21Sg4-Nepalese-Journal-on-Geoinformatics-V8.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-8/downloads
Nepalese Journal on Geoinformatics Vol 7,30 Aug 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210830170117-hlCh1-Nepalese-Journal-on-Geoinformatics-V7.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-7/downloads
Nepalese Journal on Geoinformatics Vol 6,30 Aug 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210830170046-PXT29-Nepalese-Journal-on-Geoinformatics-V6.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-6/downloads
Nepalese Journal on Geoinformatics Vol 5,30 Aug 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210830170017-3Z2iM-Nepalese-Journal-on-Geoinformatics-V5.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-5/downloads
Nepalese Journal on Geoinformatics Vol 4,30 Aug 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210830165948-Jr0No-Nepalese-Journal-on-Geoinformatics-V4.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-4/downloads
Nepalese Journal on Geoinformatics Vol 3,30 Aug 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210830165934-9W0ZJ-Nepalese-Journal-on-Geoinformatics-V3.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-3/downloads
Nepalese Journal on Geoinformatics Vol 2,09 Jul 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210709112904-aOnIc-http___dos_gov_np_wp-content_uploads_2018_01_2_nepalesejournal2-2.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-2-2/downloads
Nepalese Journal on Geoinformatics Vol 1,09 Jul 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210709112833-jd86V-http___dos_gov_np_wp-content_uploads_2017_07_1_nepalesejournal1.pdf,http://dos.gov.np/download/download/nepalese-journal-on-geoinformatics-vol-1-2/downloads
Call For Research Paper/Article,09 Jul 2021,http://dos.gov.np/uploads/branch_1/downloads/downloads-20210709112745-bqZAz-http___dos_gov_np_wp-content_uploads_2018_12_paper-guidelines-and-template2.docx,http://dos.gov.np/download/download/call-for-research-paperarticle-2/downloads
