शीर्षक,डाउनलोड
भोगाधिकार दिएको जग्गा लिजमा परिणत गर्ने सम्बन्धमा (२०७४१।२४)।,https://www.dolma.gov.np/uploads/document/m_118_100988_1499857098.pdf
"सरकारी जग्गा दर्ता, उपयोग तथा लिजमा उपलब्ध गराउने सम्बन्धी कार्यनीति, २०७९","https://www.dolma.gov.np/uploads/document/1657863982सरकारी जग्गा दर्ता, उपयोग तथा लिजमा उपलब्ध गराउने सम्बन्धी कार्यनीति, २०७९ (1).pdf"
भूमि सम्बन्धी (सोह्रौ संशोधन) नियमहरु सम्बन्धी राजपत्र ।,https://www.dolma.gov.np/uploads/document/m_118_88481_1499857309.pdf
मालपोत कार्यालयमा मोठ तथा रोक्का श्रेस्ताको इमेज तयार गरी डिजिटल अभिलेख तयार गर्ने सम्बन्धी कार्यक्षेत्रगत शर्त,
जग्गाको न्यूनतम मूल्या‌ंकन सम्बन्धमा ।,https://www.dolma.gov.np/uploads/document/m_118_254376_1499857639.pdf
प्रगति विवरणको (नमूना) फाराम सम्बन्धमा ।,https://www.dolma.gov.np/uploads/document/m_118_226936_1499857887.pdf
भोगाधिकार दिएको जग्गा लिजमा परिणत गर्ने सम्बन्धमा ।,https://www.dolma.gov.np/uploads/document/m_118_770273_1499857971.pdf
सरकारी जग्गा दर्ता तथा लिज कार्यनिति २०७२ सम्बन्धमा ।,https://www.dolma.gov.np/uploads/document/m_118_805433_1499858052.pdf
पूजिकर लाभ कर सम्बन्धमा,https://www.dolma.gov.np/uploads/document/m_118_360270_1499858108.pdf
"सरकारी, सार्वजनिक जग्गाको अतिक्रमण छानविन सम्बन्धमा",https://www.dolma.gov.np/uploads/document/m_118_96402_1499858219.pdf
"सूचनाको हक सम्बन्धी ऐन, २०६४ को दफा ५ र सूचनाको हक सम्बन्धी नियमावली, २०६५ को नियम ३ बमोजिम सार्वजनिक गरिएको विवरण",https://www.dolma.gov.np/uploads/document/1659866918सूचनाको हक सम्बन्धी (2079 बैशाख देखि असारमसान्तसम्म) A4.docx
राजपत्रमा प्रकाशित २६ नगरपालिकहरुको विवरण ।,https://www.dolma.gov.np/uploads/document/m_118_79400_1499858294.pdf
राजपत्रमा प्रकाशित २६ नगरपालिकहरुको विवरण ।,https://www.dolma.gov.np/uploads/document/m_118_251322_1499858427.pdf
स्ववासी घरजग्गा दर्ता सम्बन्धी गठन आदेश २०७२,https://www.dolma.gov.np/uploads/document/m_118_748920_1499858614.pdf
गुठी संस्थान एेन २०३३ सम्बन्धी परिपत्र,https://www.dolma.gov.np/uploads/document/m_118_605430_1499858665.pdf
जग्गाको न्यूनतम मूल्याङ्कन सम्बन्धमा,https://www.dolma.gov.np/uploads/document/m_118_462570_1499858711.pdf
