Date,Data-name,href
"१५ फाल्गुन २०७९, सोमबार ०९:०३",सूचनाको हक सम्बन्धी विवरण (२०७९ मंसिरदेखि माघसम्म),https://nlc.gov.np/%e0%a4%b8%e0%a5%82%e0%a4%9a%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a5%8b-%e0%a4%b9%e0%a4%95-%e0%a4%b8%e0%a4%ae%e0%a5%8d%e0%a4%ac%e0%a4%a8%e0%a5%8d%e0%a4%a7%e0%a5%80-%e0%a4%b5%e0%a4%bf%e0%a4%b5%e0%a4%b0/
"४ फाल्गुन २०७९, बिहीबार ०५:१८","भूमिहीन दलित, भूमिहीन सुकुम्बासी र अव्यवस्थित बसोबासीले निवेदन दिने सम्बन्धी पैँतीस (३५) दिने सूचना २०७९।११।०४",https://nlc.gov.np/%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%a6%e0%a4%b2%e0%a4%bf%e0%a4%a4-%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%b8%e0%a5%81%e0%a4%95-9/
"५ माघ २०७९, बिहीबार ०७:४४","जग्गाको स्वामित्व, दर्ता श्रेस्ता, फिल्डबुक प्रमाण्ति लगायतका विषयमा निवेदन दिने सम्बन्धी ३५ दिने सूचना ।",https://nlc.gov.np/%e0%a4%9c%e0%a4%97%e0%a5%8d%e0%a4%97%e0%a4%be%e0%a4%95%e0%a5%8b-%e0%a4%b8%e0%a5%8d%e0%a4%b5%e0%a4%be%e0%a4%ae%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%b5-%e0%a4%a6%e0%a4%b0%e0%a5%8d%e0%a4%a4%e0%a4%be-2/
"२२ पुष २०७९, शुक्रबार ०८:१८","भूमिहीन दलित, भूमिहीन सुकुम्बासी र अव्यवस्थित बसोबासीले निवेदन दिने सम्बन्धी पैतीस (३५) दिने सूचना २०७९।०९।२२",https://nlc.gov.np/%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%a6%e0%a4%b2%e0%a4%bf%e0%a4%a4-%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%b8%e0%a5%81%e0%a4%95-8/
"२७ मंसिर २०७९, मंगलवार ०४:५१",अत्यन्त जरूरी सूचना २०७९।०८।२७,https://nlc.gov.np/%e0%a4%85%e0%a4%a4%e0%a5%8d%e0%a4%af%e0%a4%a8%e0%a5%8d%e0%a4%a4-%e0%a4%9c%e0%a4%b0%e0%a5%82%e0%a4%b0%e0%a5%80-%e0%a4%b8%e0%a5%82%e0%a4%9a%e0%a4%a8%e0%a4%be-2/
"१६ मंसिर २०७९, शुक्रबार ०२:४३",अन्यन्त जरुरी सूचना: २०७९।०८।१६,https://nlc.gov.np/%e0%a4%85%e0%a4%a8%e0%a5%8d%e0%a4%af%e0%a4%a8%e0%a5%8d%e0%a4%a4-%e0%a4%9c%e0%a4%b0%e0%a5%81%e0%a4%b0%e0%a5%80-%e0%a4%b8%e0%a5%82%e0%a4%9a%e0%a4%a8%e0%a4%be-%e0%a5%a8%e0%a5%a6%e0%a5%ad%e0%a5%af/
"१ आश्विन २०७९, शनिबार ००:४९",अत्यन्त जरूरी सूचना,https://nlc.gov.np/%e0%a4%85%e0%a4%a4%e0%a5%8d%e0%a4%af%e0%a4%a8%e0%a5%8d%e0%a4%a4-%e0%a4%9c%e0%a4%b0%e0%a5%82%e0%a4%b0%e0%a5%80-%e0%a4%b8%e0%a5%82%e0%a4%9a%e0%a4%a8%e0%a4%be/
"२९ भाद्र २०७९, बुधबार ००:५५","भूमिहीन दलित, भूमिहीन सुकुम्बासी र अव्यवस्थित बसोबासीले निवेदन दिने सम्बन्धी पैतीस (३५) दिने सूचना",https://nlc.gov.np/%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%a6%e0%a4%b2%e0%a4%bf%e0%a4%a4-%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%b8%e0%a5%81%e0%a4%95-4/
"२० भाद्र २०७९, सोमबार ०१:२०","विगतका आयोग, समिति र कार्यदलका बाँकी काम सम्बन्धी विवरण",https://nlc.gov.np/%e0%a4%b5%e0%a4%bf%e0%a4%97%e0%a4%a4%e0%a4%95%e0%a4%be-%e0%a4%86%e0%a4%af%e0%a5%8b%e0%a4%97-%e0%a4%b8%e0%a4%ae%e0%a4%bf%e0%a4%a4%e0%a4%bf-%e0%a4%b0-%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%af-2/
"२ भाद्र २०७९, बिहीबार ०१:०४","भूमिहीन दलित, भूमिहीन सुकुम्बासी र अव्यवस्थित बसोबासीले निवेदन दिने सम्बन्धी दोस्रो पटक प्रकासति ३५ दिने सूचना",https://nlc.gov.np/%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%a6%e0%a4%b2%e0%a4%bf%e0%a4%a4-%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf%e0%a4%b9%e0%a5%80%e0%a4%a8-%e0%a4%b8%e0%a5%81%e0%a4%95-5/
