S.No.,Title,Group,Published Date,Download
1,"सहकारी झलक, २०७७",सहकारी सङ्घ संस्था तथ्याङ्क,२०२१-०१-३१,"http://deoc.gov.np/downloadfile/sahakari jhalak, 2077_nep_1612089734.pdf"
2,"सहकारी तथ्या‌ङ्क, २०६६",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०४-२६,http://deoc.gov.np/downloadfile/cooperative-stat-2066_pdffileNep_1556269319.pdf
3,"विस्तृत सहकारी तथ्या‌ङ्क, २०६८",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२१,http://deoc.gov.np/downloadfile/Coop_stat_2068_pdffileNep_1548049733.pdf
4,"विस्तृत सहकारी तथ्या‌ङ्क, २०७४",सहकारी सङ्घ संस्था तथ्याङ्क,२०१८-१२-१३,http://deoc.gov.np/downloadfile/Coop_data_2074_1544686478.pdf
5,"विस्तृत सहकारी तथ्या‌ङ्क, २०७३",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२१,http://deoc.gov.np/downloadfile/Coop_stat_2073_1548049181.pdf
6,"विस्तृत सहकारी तथ्या‌ङ्क, २०७२",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२१,http://deoc.gov.np/downloadfile/Coop_data_2072_1548048938.pdf
7,"विस्तृत सहकारी तथ्या‌ङ्क, २०७१",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२१,http://deoc.gov.np/downloadfile/Coop_stat_2071_1548049263.pdf
8,"विस्तृत सहकारी तथ्या‌ङ्क, २०७०",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२२,http://deoc.gov.np/downloadfile/Coop_data_2070_1548133252.pdf
9,"विस्तृत सहकारी तथ्या‌ङ्क, २०६९",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२८,http://deoc.gov.np/downloadfile/Coop_data_2069_1548737788.pdf
10,"सहकारी तथ्या‌ङ्क, २०६६",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०४-२६,http://deoc.gov.np/downloadfile/cooperative-stat-2066_pdffileNep_1556269319.pdf
11,"विस्तृत सहकारी तथ्या‌ङ्क, २०६८",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२१,http://deoc.gov.np/downloadfile/Coop_stat_2068_pdffileNep_1548049733.pdf
12,"विस्तृत सहकारी तथ्या‌ङ्क, २०७४",सहकारी सङ्घ संस्था तथ्याङ्क,२०१८-१२-१३,http://deoc.gov.np/downloadfile/Coop_data_2074_1544686478.pdf
13,"विस्तृत सहकारी तथ्या‌ङ्क, २०७३",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२१,http://deoc.gov.np/downloadfile/Coop_stat_2073_1548049181.pdf
14,"विस्तृत सहकारी तथ्या‌ङ्क, २०७२",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२१,http://deoc.gov.np/downloadfile/Coop_data_2072_1548048938.pdf
15,"विस्तृत सहकारी तथ्या‌ङ्क, २०७१",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२१,http://deoc.gov.np/downloadfile/Coop_stat_2071_1548049263.pdf
16,"विस्तृत सहकारी तथ्या‌ङ्क, २०७०",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२२,http://deoc.gov.np/downloadfile/Coop_data_2070_1548133252.pdf
17,"विस्तृत सहकारी तथ्या‌ङ्क, २०६९",सहकारी सङ्घ संस्था तथ्याङ्क,२०१९-०१-२८,http://deoc.gov.np/downloadfile/Coop_data_2069_1548737788.pdf
